id,type,time_ms,size_bytes,status_code,ok,start_ts,end_ts
26,REST,413.34469999992507,485,200,True,2025-12-05T01:10:47.712831Z,2025-12-05T01:10:48.125701Z
26,GraphQL,621.2037000000237,78,200,True,2025-12-05T01:10:48.226718Z,2025-12-05T01:10:48.847290Z
24,REST,209.00600000004488,493,200,True,2025-12-05T01:10:48.847290Z,2025-12-05T01:10:49.056598Z
24,GraphQL,325.5899999999201,80,200,True,2025-12-05T01:10:49.157109Z,2025-12-05T01:10:49.482719Z
20,REST,261.0447000001841,478,200,True,2025-12-05T01:10:49.482719Z,2025-12-05T01:10:49.742875Z
20,GraphQL,328.93330000024434,94,200,True,2025-12-05T01:10:49.843887Z,2025-12-05T01:10:50.172492Z
12,REST,207.2294999998121,472,200,True,2025-12-05T01:10:50.172492Z,2025-12-05T01:10:50.379499Z
12,GraphQL,315.2549999999792,77,200,True,2025-12-05T01:10:50.480496Z,2025-12-05T01:10:50.795662Z
5,REST,12.25289999956658,2214,200,True,2025-12-05T01:10:50.795662Z,2025-12-05T01:10:50.807661Z
5,GraphQL,625.2421000003778,80,200,True,2025-12-05T01:10:50.908184Z,2025-12-05T01:10:51.532721Z
46,REST,210.4048999999577,444,200,True,2025-12-05T01:10:51.532721Z,2025-12-05T01:10:51.743713Z
46,GraphQL,567.521399999805,76,200,True,2025-12-05T01:10:51.844232Z,2025-12-05T01:10:52.411736Z
27,REST,264.26690000016606,478,200,True,2025-12-05T01:10:52.411736Z,2025-12-05T01:10:52.675737Z
27,GraphQL,311.187400000108,81,200,True,2025-12-05T01:10:52.776250Z,2025-12-05T01:10:53.087343Z
10,REST,206.68449999993754,465,200,True,2025-12-05T01:10:53.087343Z,2025-12-05T01:10:53.293344Z
10,GraphQL,319.615899999917,78,200,True,2025-12-05T01:10:53.394360Z,2025-12-05T01:10:53.713526Z
30,REST,206.5837999998621,396,200,True,2025-12-05T01:10:53.713526Z,2025-12-05T01:10:53.920518Z
30,GraphQL,627.6659000000109,95,200,True,2025-12-05T01:10:54.021046Z,2025-12-05T01:10:54.648559Z
17,REST,12.169799999810493,471,200,True,2025-12-05T01:10:54.648559Z,2025-12-05T01:10:54.660560Z
17,GraphQL,310.9091000001172,74,200,True,2025-12-05T01:10:54.761174Z,2025-12-05T01:10:55.071637Z
32,REST,207.20440000013696,456,200,True,2025-12-05T01:10:55.071637Z,2025-12-05T01:10:55.278696Z
32,GraphQL,313.14060000022437,80,200,True,2025-12-05T01:10:55.379631Z,2025-12-05T01:10:55.692459Z
22,REST,262.99909999988813,536,200,True,2025-12-05T01:10:55.692459Z,2025-12-05T01:10:55.955471Z
22,GraphQL,312.662199999977,83,200,True,2025-12-05T01:10:56.056362Z,2025-12-05T01:10:56.368878Z
13,REST,207.57030000004306,452,200,True,2025-12-05T01:10:56.368878Z,2025-12-05T01:10:56.576308Z
13,GraphQL,630.7501999999658,83,200,True,2025-12-05T01:10:56.677084Z,2025-12-05T01:10:57.307411Z
4,REST,12.403400000039255,2350,200,True,2025-12-05T01:10:57.307411Z,2025-12-05T01:10:57.319501Z
4,GraphQL,326.6563999995924,79,200,True,2025-12-05T01:10:57.420728Z,2025-12-05T01:10:57.746468Z
40,REST,207.21279999997932,498,200,True,2025-12-05T01:10:57.747472Z,2025-12-05T01:10:57.953928Z
40,GraphQL,635.9136000000944,99,200,True,2025-12-05T01:10:58.055089Z,2025-12-05T01:10:58.689692Z
39,REST,261.6808999996465,526,200,True,2025-12-05T01:10:58.691132Z,2025-12-05T01:10:58.952162Z
39,GraphQL,627.6841999997487,79,200,True,2025-12-05T01:10:59.053043Z,2025-12-05T01:10:59.680520Z
11,REST,437.2006999997211,497,200,True,2025-12-05T01:10:59.680520Z,2025-12-05T01:11:00.116990Z
11,GraphQL,320.81819999984873,83,200,True,2025-12-05T01:11:00.218258Z,2025-12-05T01:11:00.538404Z
25,REST,207.11670000036975,506,200,True,2025-12-05T01:11:00.538404Z,2025-12-05T01:11:00.745291Z
25,GraphQL,315.4986999998073,77,200,True,2025-12-05T01:11:00.846309Z,2025-12-05T01:11:01.160915Z
36,REST,207.56639999990512,391,200,True,2025-12-05T01:11:01.160915Z,2025-12-05T01:11:01.369385Z
36,GraphQL,338.37780000021667,79,200,True,2025-12-05T01:11:01.469973Z,2025-12-05T01:11:01.807573Z
1,REST,11.996600000202307,2719,200,True,2025-12-05T01:11:01.807573Z,2025-12-05T01:11:01.819717Z
1,GraphQL,362.51520000041637,81,200,True,2025-12-05T01:11:01.920703Z,2025-12-05T01:11:02.283207Z
44,REST,261.6628999999193,436,200,True,2025-12-05T01:11:02.283207Z,2025-12-05T01:11:02.544087Z
44,GraphQL,378.9526999998998,84,200,True,2025-12-05T01:11:02.645173Z,2025-12-05T01:11:03.024148Z
19,REST,265.968900000189,403,200,True,2025-12-05T01:11:03.024148Z,2025-12-05T01:11:03.289819Z
19,GraphQL,329.51009999987946,83,200,True,2025-12-05T01:11:03.390480Z,2025-12-05T01:11:03.719317Z
34,REST,208.61240000022008,532,200,True,2025-12-05T01:11:03.719317Z,2025-12-05T01:11:03.928345Z
34,GraphQL,365.10339999995267,85,200,True,2025-12-05T01:11:04.028773Z,2025-12-05T01:11:04.393565Z
49,REST,207.10300000018833,436,200,True,2025-12-05T01:11:04.393565Z,2025-12-05T01:11:04.600833Z
49,GraphQL,345.1342999996996,75,200,True,2025-12-05T01:11:04.701469Z,2025-12-05T01:11:05.046589Z
42,REST,265.29819999996107,458,200,True,2025-12-05T01:11:05.046589Z,2025-12-05T01:11:05.311244Z
42,GraphQL,518.5584000000745,85,200,True,2025-12-05T01:11:05.412260Z,2025-12-05T01:11:05.930573Z
31,REST,206.9989000001442,453,200,True,2025-12-05T01:11:05.930573Z,2025-12-05T01:11:06.137821Z
31,GraphQL,319.0127999996548,79,200,True,2025-12-05T01:11:06.238282Z,2025-12-05T01:11:06.557284Z
29,REST,361.25399999991714,455,200,True,2025-12-05T01:11:06.557284Z,2025-12-05T01:11:06.917375Z
29,GraphQL,318.1072000002132,78,200,True,2025-12-05T01:11:07.019027Z,2025-12-05T01:11:07.336414Z
21,REST,277.51679999983025,492,200,True,2025-12-05T01:11:07.336414Z,2025-12-05T01:11:07.614004Z
21,GraphQL,623.8591999999699,84,200,True,2025-12-05T01:11:07.715019Z,2025-12-05T01:11:08.338190Z
23,REST,207.64730000018972,623,200,True,2025-12-05T01:11:08.338190Z,2025-12-05T01:11:08.546197Z
23,GraphQL,321.17620000008174,83,200,True,2025-12-05T01:11:08.646782Z,2025-12-05T01:11:08.967336Z
43,REST,262.5739000000067,429,200,True,2025-12-05T01:11:08.967336Z,2025-12-05T01:11:09.230182Z
