name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
freeCodeCamp/freeCodeCamp,425823,2014-12-24T17:49:19Z,2025-08-15T15:31:00Z,TypeScript,0,25697,19814,19619
codecrafters-io/build-your-own-x,410558,2018-05-09T12:03:18Z,2025-07-29T21:02:41Z,Markdown,0,142,816,595
sindresorhus/awesome,391951,2014-07-11T13:42:37Z,2025-07-18T18:37:33Z,N/A,0,679,354,340
EbookFoundation/free-programming-books,365117,2013-10-11T06:50:37Z,2025-08-09T10:39:09Z,Python,0,6818,1181,1150
public-apis/public-apis,361411,2016-03-20T23:49:42Z,2025-05-20T15:56:34Z,Python,0,1872,711,703
kamranahmedse/developer-roadmap,333860,2017-03-15T13:45:52Z,2025-08-15T00:14:29Z,TypeScript,1,3671,2938,2692
jwasham/coding-interview-university,324298,2016-06-06T02:34:12Z,2024-12-05T23:47:30Z,N/A,0,415,516,453
donnemartin/system-design-primer,316085,2017-02-26T16:15:28Z,2025-05-21T11:13:33Z,Python,0,200,339,91
996icu/996.ICU,274044,2019-03-26T07:31:14Z,2024-10-03T12:29:12Z,N/A,0,1067,0,0
vinta/awesome-python,255145,2014-06-27T21:00:06Z,2025-07-17T16:35:51Z,Python,0,544,0,0
awesome-selfhosted/awesome-selfhosted,242011,2015-06-01T02:33:17Z,2025-08-14T21:08:12Z,N/A,1,2394,806,806
practical-tutorials/project-based-learning,239727,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,N/A,0,182,209,79
facebook/react,238145,2013-05-24T16:15:54Z,2025-08-15T19:13:58Z,JavaScript,105,12095,13986,13182
vuejs/vue,209268,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,TypeScript,249,1133,10028,9673
TheAlgorithms/Python,204060,2016-07-16T09:44:01Z,2025-08-12T07:30:14Z,Python,0,2975,1585,1511
torvalds/linux,199800,2011-09-04T22:48:12Z,2025-08-15T19:55:49Z,C,0,10,0,0
trekhleb/javascript-algorithms,193009,2018-03-24T07:47:04Z,2025-02-12T16:19:59Z,JavaScript,0,302,366,229
tensorflow/tensorflow,191191,2015-11-07T01:19:20Z,2025-08-15T20:39:57Z,C++,219,35816,40723,39833
ossu/computer-science,190405,2014-05-04T00:18:39Z,2025-07-17T02:38:25Z,HTML,0,298,652,638
getify/You-Dont-Know-JS,182951,2013-11-16T02:37:24Z,2025-05-20T14:22:36Z,N/A,0,368,944,863
trimstray/the-book-of-secret-knowledge,182380,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,N/A,0,122,0,0
CyC2018/CS-Notes,181453,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,N/A,0,374,571,448
ohmyzsh/ohmyzsh,180702,2009-08-28T18:15:37Z,2025-08-13T08:14:21Z,Shell,0,3371,4964,4821
Significant-Gravitas/AutoGPT,177801,2023-03-16T09:21:07Z,2025-08-15T19:40:02Z,Python,67,3173,3378,3219
microsoft/vscode,175769,2015-09-03T20:23:38Z,2025-08-15T20:37:14Z,TypeScript,176,36038,204702,192612
twbs/bootstrap,172846,2011-07-29T21:19:00Z,2025-08-15T06:34:23Z,MDX,93,8969,22749,22343
flutter/flutter,171867,2015-03-06T22:54:58Z,2025-08-15T20:41:37Z,Dart,7,43726,108651,96762
jackfrued/Python-100-Days,170880,2018-03-01T16:05:52Z,2025-03-28T10:29:23Z,Jupyter Notebook,0,13,690,118
github/gitignore,168671,2010-11-08T20:17:14Z,2025-08-08T20:08:39Z,N/A,0,1713,0,0
jlevy/the-art-of-command-line,157799,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,N/A,0,317,258,136
AUTOMATIC1111/stable-diffusion-webui,155593,2022-08-22T14:05:26Z,2025-05-03T06:17:03Z,Python,27,1874,7826,5464
Snailclimb/JavaGuide,151288,2018-05-07T13:27:00Z,2025-08-13T08:02:21Z,Java,0,1179,1104,1031
ollama/ollama,150252,2023-06-26T19:39:32Z,2025-08-15T18:31:10Z,Go,142,2451,7932,6191
avelino/awesome-go,149975,2014-07-06T13:42:15Z,2025-08-15T04:23:48Z,Go,0,3456,686,680
huggingface/transformers,148373,2018-10-29T13:56:00Z,2025-08-15T20:28:34Z,Python,222,16573,17774,16682
airbnb/javascript,147275,2012-11-01T23:13:50Z,2024-12-09T06:56:18Z,JavaScript,0,810,1364,1268
