name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
mckaywrigley/chatbot-ui,32130,2023-03-11T14:53:14Z,2024-08-03T00:38:07Z,TypeScript,0,280,993,817
ueberdosis/tiptap,32129,2018-08-20T19:58:58Z,2025-08-21T22:01:27Z,TypeScript,897,1250,3238,2535
agno-agi/agno,32113,2022-05-04T15:23:02Z,2025-08-21T23:25:03Z,Python,86,1745,1266,1142
The-Run-Philosophy-Organization/run,32099,2022-04-10T05:42:40Z,2024-07-31T03:44:51Z,N/A,0,171,256,214
TabbyML/tabby,31990,2023-03-16T09:18:01Z,2025-08-19T20:03:43Z,Rust,241,2969,937,733
balena-io/etcher,31957,2015-10-27T16:53:23Z,2025-07-29T12:17:38Z,TypeScript,289,1731,2381,1823
alibaba/nacos,31956,2018-06-15T06:49:27Z,2025-08-21T15:24:26Z,Java,84,3156,9152,8903
Chanzhaoyu/chatgpt-web,31939,2023-02-09T03:21:37Z,2024-08-16T15:26:57Z,Vue,43,159,1747,1747
pathwaycom/pathway,31897,2022-11-27T13:01:14Z,2025-08-21T19:21:44Z,Python,75,5,97,53
CherryHQ/cherry-studio,31897,2024-05-24T01:56:26Z,2025-08-22T01:09:22Z,TypeScript,191,1930,6311,5792
yewstack/yew,31882,2017-12-16T14:19:02Z,2025-08-21T19:14:31Z,Rust,35,1802,1256,1143
vercel/swr,31844,2019-10-28T18:16:01Z,2025-08-11T15:20:44Z,TypeScript,123,795,959,817
ziadoz/awesome-php,31829,2013-11-26T03:14:19Z,2025-05-12T08:36:08Z,N/A,0,453,153,152
chatanywhere/GPT_API_free,31821,2023-04-23T12:42:08Z,2025-08-08T11:10:19Z,Python,0,1,377,353
v2fly/v2ray-core,31789,2019-04-15T10:05:54Z,2025-08-20T22:23:00Z,Go,111,909,1040,1002
Trinea/android-open-project,31786,2014-01-05T15:20:15Z,2025-08-02T15:31:51Z,N/A,0,204,86,75
binarywang/WxJava,31781,2016-01-06T08:24:05Z,2025-08-08T10:25:32Z,Java,30,1053,2371,2307
shardeum/shardeum,31767,2024-04-16T22:37:25Z,2025-08-21T20:25:16Z,TypeScript,0,325,38,33
mpv-player/mpv,31750,2012-10-13T08:08:44Z,2025-08-20T13:34:55Z,C,87,3500,10545,9642
vnpy/vnpy,31738,2015-03-02T03:36:58Z,2025-07-31T04:51:57Z,Python,64,1055,2128,2110
facebookresearch/fairseq,31736,2017-08-29T16:26:12Z,2025-06-10T21:41:39Z,Python,16,234,4247,3056
hasura/graphql-engine,31662,2018-06-18T07:57:36Z,2025-08-21T08:39:11Z,TypeScript,294,2110,6380,4145
zeromicro/go-zero,31656,2020-08-07T15:37:57Z,2025-08-20T19:57:17Z,Go,140,2321,1864,1642
yunjey/pytorch-tutorial,31637,2017-03-10T07:41:47Z,2023-08-15T10:17:50Z,Python,0,28,180,114
mouredev/Hello-Python,31596,2022-08-03T17:14:53Z,2025-08-11T12:00:01Z,Python,0,0,293,275
open-mmlab/mmdetection,31594,2018-08-22T07:06:06Z,2024-08-21T02:01:07Z,Python,53,2359,8497,6745
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,31589,2023-03-27T09:59:10Z,2024-11-24T15:09:44Z,Python,7,475,1919,1299
floating-ui/floating-ui,31561,2016-03-29T17:00:47Z,2025-08-21T06:33:46Z,TypeScript,497,1190,1456,1429
qier222/YesPlayMusic,31536,2020-10-09T10:04:21Z,2025-06-30T07:30:10Z,Vue,31,288,1799,1191
remix-run/remix,31531,2020-10-26T19:57:28Z,2025-08-22T01:19:56Z,TypeScript,175,3441,2606,2602
RSSNext/Folo,31514,2024-04-08T03:23:35Z,2025-08-21T23:44:03Z,TypeScript,70,1254,2242,2045
niklasvh/html2canvas,31479,2011-07-16T01:05:58Z,2024-07-18T07:26:56Z,TypeScript,45,186,2621,1660
kuchin/awesome-cto,31473,2016-12-16T19:22:18Z,2025-08-03T09:52:36Z,N/A,0,18,11,11
amix/vimrc,31443,2012-05-29T16:19:29Z,2024-10-06T08:26:02Z,Vim Script,0,107,522,510
labstack/echo,31428,2015-03-01T17:43:01Z,2025-08-12T08:57:52Z,Go,109,592,1465,1392
ReactiveX/rxjs,31421,2015-03-15T06:17:10Z,2025-02-23T20:54:32Z,TypeScript,2,2588,3160,2940
airbnb/lottie-web,31364,2015-02-20T21:02:59Z,2025-07-07T09:33:03Z,JavaScript,0,136,2894,2125
microsoft/MS-DOS,31349,2018-06-25T18:26:02Z,2024-04-25T22:32:47Z,Assembly,0,37,0,0
IceWhaleTech/CasaOS,31344,2021-09-26T02:33:09Z,2025-08-06T08:54:04Z,Go,97,274,1557,880
servo/servo,31323,2012-02-08T19:07:25Z,2025-08-22T00:38:42Z,HTML,0,20506,14005,10995
lutzroeder/netron,31228,2010-12-26T12:53:43Z,2025-08-21T23:17:03Z,JavaScript,2,1,1222,1201
cockroachdb/cockroach,31201,2014-02-06T00:18:47Z,2025-08-22T01:06:03Z,Go,0,67683,75695,69282
xyflow/xyflow,31201,2019-07-15T14:47:30Z,2025-08-20T14:56:12Z,TypeScript,350,1402,2269,2187
backstage/backstage,31167,2020-01-24T22:39:49Z,2025-08-21T19:29:07Z,TypeScript,443,18961,7058,6692
cursor/cursor,31118,2023-03-12T00:19:42Z,2024-10-13T19:23:26Z,N/A,0,46,3240,1213
mli/paper-reading,31107,2021-10-22T06:34:51Z,2025-03-22T03:49:35Z,N/A,0,15,0,0
OpenCut-app/OpenCut,31064,2025-06-22T08:02:17Z,2025-08-19T21:24:09Z,TypeScript,0,179,182,70
google-ai-edge/mediapipe,31060,2019-06-13T19:16:41Z,2025-08-21T01:54:13Z,C++,63,201,5472,5029
ianstormtaylor/slate,31050,2016-06-18T01:52:42Z,2025-08-21T15:43:01Z,TypeScript,203,1938,3196,2528
mqyqingfeng/Blog,31045,2017-03-13T10:04:33Z,2025-03-12T12:27:25Z,N/A,0,3,361,100
dokku/dokku,31035,2013-06-08T10:26:57Z,2025-08-22T01:24:44Z,Shell,301,4159,2798,2753
lovell/sharp,31010,2013-08-19T20:24:24Z,2025-08-21T08:35:41Z,JavaScript,99,302,3981,3865
0xAX/linux-insides,30982,2015-01-03T18:44:57Z,2025-08-09T20:57:17Z,Python,0,579,189,153
mathiasbynens/dotfiles,30951,2011-09-05T18:07:54Z,2024-08-05T19:06:13Z,Shell,0,44,392,254
coolsnowwolf/lede,30921,2017-09-06T07:39:03Z,2025-08-21T15:38:29Z,C,6,2020,9148,8384
MonitorControl/MonitorControl,30914,2017-09-16T21:13:40Z,2025-07-25T21:43:11Z,Swift,26,216,983,968
ocrmypdf/OCRmyPDF,30893,2013-12-20T08:26:28Z,2025-08-18T20:43:41Z,Python,41,153,1269,1137
blueimp/jQuery-File-Upload,30891,2010-12-01T15:35:32Z,2023-05-25T09:11:07Z,PHP,0,119,3307,3258
filebrowser/filebrowser,30887,2015-09-11T21:21:58Z,2025-08-21T14:54:09Z,Go,97,607,2748,2726
schollz/croc,30881,2017-10-17T15:20:18Z,2025-08-12T17:16:51Z,Go,175,236,540,530
anthropics/claude-code,30850,2025-02-22T17:41:21Z,2025-08-22T01:22:00Z,TypeScript,0,59,6126,3389
1Panel-dev/1Panel,30847,2022-07-19T15:44:52Z,2025-08-21T10:33:50Z,Go,96,3812,5390,4766
kubernetes/minikube,30840,2016-04-15T22:38:35Z,2025-08-21T22:39:04Z,Go,151,8789,10116,9608
vadimdemedes/ink,30832,2017-06-12T06:12:28Z,2025-08-21T19:52:01Z,TypeScript,63,235,375,302
derailed/k9s,30795,2019-01-25T18:46:02Z,2025-08-21T14:58:52Z,Go,248,838,2138,1728
paperless-ngx/paperless-ngx,30791,2022-02-12T21:56:52Z,2025-08-22T00:34:46Z,Python,122,2564,2105,2105
khoj-ai/khoj,30770,2021-08-16T01:48:44Z,2025-08-21T03:23:29Z,Python,158,475,552,476
XTLS/Xray-core,30759,2020-11-09T11:23:10Z,2025-08-21T11:27:11Z,Go,90,1015,2554,2543
alibaba/p3c,30724,2017-06-23T06:15:51Z,2024-08-06T08:22:02Z,Kotlin,0,62,858,697
apache/kafka,30715,2011-08-15T18:06:16Z,2025-08-21T17:43:52Z,Java,0,11805,0,0
codex-team/editor.js,30710,2015-11-28T20:56:35Z,2025-04-30T16:52:33Z,TypeScript,102,863,1520,921
fish-shell/fish-shell,30701,2012-05-10T03:00:55Z,2025-08-21T18:41:36Z,Rust,48,2146,7664,7186
donnemartin/interactive-coding-challenges,30682,2015-04-28T21:36:39Z,2024-05-08T23:07:36Z,Python,0,176,69,32
SortableJS/Sortable,30670,2013-12-19T10:10:13Z,2025-05-29T19:31:47Z,JavaScript,30,248,1817,1344
awesome-foss/awesome-sysadmin,30664,2014-12-23T08:41:22Z,2025-07-27T09:54:59Z,N/A,0,329,102,88
juanfont/headscale,30630,2020-06-21T09:21:05Z,2025-08-21T14:41:06Z,Go,124,1053,1092,998
Textualize/textual,30595,2021-04-08T15:24:47Z,2025-08-21T09:42:57Z,Python,185,2177,2258,2074
google/comprehensive-rust,30583,2022-12-21T15:17:24Z,2025-08-20T17:41:47Z,Rust,0,2173,345,235
ityouknow/spring-boot-examples,30576,2016-11-05T05:32:33Z,2023-11-18T16:32:16Z,Java,0,7,109,99
k3s-io/k3s,30566,2018-05-31T01:37:46Z,2025-08-21T21:52:04Z,Go,885,4068,6943,6832
microsoft/calculator,30554,2019-01-28T17:55:49Z,2025-08-20T09:41:17Z,C++,0,899,1113,717
nextcloud/server,30531,2016-06-02T07:44:14Z,2025-08-22T00:12:31Z,PHP,349,28163,20208,17941
utmapp/UTM,30524,2019-04-12T16:09:24Z,2025-08-19T21:25:23Z,Swift,122,266,3423,2538
influxdata/influxdb,30508,2013-09-26T14:31:10Z,2025-08-21T22:26:38Z,Rust,93,10606,14016,11957
symfony/symfony,30502,2010-01-04T14:21:21Z,2025-08-21T14:16:32Z,PHP,555,24288,21234,20677
parallax/jsPDF,30495,2009-12-06T14:56:32Z,2025-08-21T11:45:29Z,JavaScript,35,718,2559,2444
huggingface/diffusers,30418,2022-05-30T16:04:02Z,2025-08-22T00:29:40Z,Python,86,4997,4974,4413
microsoft/Data-Science-For-Beginners,30410,2021-03-03T16:30:15Z,2025-08-07T12:15:51Z,Jupyter Notebook,0,308,119,95
openai/CLIP,30387,2020-12-16T11:24:42Z,2024-07-23T01:30:44Z,Jupyter Notebook,0,28,435,193
ascoders/weekly,30370,2017-03-20T06:10:04Z,2024-09-09T01:39:37Z,JavaScript,193,136,366,363
gkd-kit/gkd,30367,2023-07-04T03:59:15Z,2025-08-19T03:10:18Z,Kotlin,53,6,661,648
webtorrent/webtorrent,30363,2013-10-15T08:16:40Z,2025-08-19T14:35:07Z,JavaScript,228,963,1663,1598
TriliumNext/Trilium,30360,2017-05-23T00:30:20Z,2025-08-21T23:26:24Z,TypeScript,334,622,4576,3492
facebook/rocksdb,30340,2012-11-30T06:16:18Z,2025-08-21T23:49:16Z,C++,206,609,3406,2636
fabricjs/fabric.js,30334,2010-06-09T22:24:38Z,2025-08-03T14:24:30Z,TypeScript,174,2343,6184,5761
medusajs/medusa,30332,2020-01-18T13:39:04Z,2025-08-21T20:42:30Z,TypeScript,128,7464,3266,3168
layui/layui,30325,2015-09-22T08:12:03Z,2025-07-31T07:28:42Z,JavaScript,158,590,1365,1298
Binaryify/NeteaseCloudMusicApi,30321,2016-06-22T11:58:03Z,2024-02-28T02:47:42Z,N/A,0,292,1337,1190
iawia002/lux,30318,2018-02-24T11:29:03Z,2025-07-02T05:55:20Z,Go,86,300,1059,540
exo-explore/exo,30298,2024-06-24T18:36:22Z,2025-03-21T22:23:32Z,Python,12,207,506,146
umami-software/umami,30297,2020-07-17T07:59:00Z,2025-08-21T10:16:04Z,TypeScript,99,799,1836,1763
tqdm/tqdm,30292,2015-06-03T13:13:14Z,2025-05-22T12:10:29Z,Python,131,287,1026,587
docsifyjs/docsify,30271,2016-11-20T07:55:43Z,2025-08-21T08:12:56Z,JavaScript,15,731,1287,1199
linexjlin/GPTs,30267,2023-11-11T03:24:16Z,2024-09-27T03:31:47Z,N/A,0,42,28,21
alpinejs/alpine,30234,2019-11-28T13:51:55Z,2025-08-06T18:42:43Z,HTML,137,657,612,612
joshbuchea/HEAD,30220,2016-04-20T20:05:37Z,2024-06-21T17:54:29Z,N/A,0,86,93,73
numpy/numpy,30201,2010-09-13T23:02:39Z,2025-08-22T01:01:50Z,Python,132,13095,13494,11394
AMAI-GmbH/AI-Expert-Roadmap,30195,2020-10-24T21:49:40Z,2023-12-31T02:20:16Z,JavaScript,0,13,66,46
s0md3v/roop,30144,2023-05-28T14:37:54Z,2024-08-19T12:57:17Z,Python,6,80,0,0
DioxusLabs/dioxus,30142,2021-01-15T01:57:26Z,2025-08-21T21:43:20Z,Rust,25,1768,2061,1630
sequelize/sequelize,30130,2010-07-22T07:11:11Z,2025-08-19T14:45:50Z,TypeScript,487,4961,10402,9511
OWASP/CheatSheetSeries,30127,2018-12-21T14:26:43Z,2025-08-12T13:17:16Z,Python,0,1076,529,487
tatsu-lab/stanford_alpaca,30126,2023-03-10T23:33:09Z,2024-07-17T09:43:05Z,Python,0,5,268,98
OAI/OpenAPI-Specification,30091,2014-03-03T16:53:36Z,2025-08-21T16:20:22Z,Markdown,12,1584,2365,2225
GyulyVGC/sniffnet,30087,2022-07-31T21:55:56Z,2025-08-21T22:42:53Z,Rust,14,430,280,239
transloadit/uppy,30063,2015-11-16T12:32:33Z,2025-08-21T18:53:02Z,TypeScript,202,3106,2448,2292
chinabugotech/hutool,30012,2014-04-13T07:23:51Z,2025-08-21T03:43:24Z,Java,152,454,2987,2984
Lightning-AI/pytorch-lightning,30010,2019-03-31T00:45:57Z,2025-08-21T16:07:19Z,Python,167,9085,7399,6482
pathwaycom/llm-app,29933,2023-07-19T08:43:37Z,2025-07-30T12:13:39Z,Jupyter Notebook,0,47,17,12
tinygrad/tinygrad,29911,2020-10-18T16:23:12Z,2025-08-22T01:26:15Z,Python,13,7941,976,844
VincentGarreau/particles.js,29901,2014-09-06T14:29:47Z,2024-03-28T03:21:07Z,JavaScript,6,21,411,106
surrealdb/surrealdb,29893,2021-12-09T15:03:29Z,2025-08-22T01:23:24Z,Rust,92,2145,2158,1471
drizzle-team/drizzle-orm,29872,2021-06-24T09:03:05Z,2025-08-21T12:51:27Z,TypeScript,146,610,3127,1693
square/leakcanary,29786,2015-04-29T23:54:16Z,2025-08-05T05:43:50Z,Kotlin,43,921,1636,1510
foundation/foundation-sites,29765,2011-10-13T23:05:42Z,2025-01-21T22:11:53Z,HTML,79,2958,8236,8179
AdguardTeam/AdGuardHome,29758,2016-07-06T10:31:47Z,2025-08-21T19:37:32Z,Go,214,124,5763,4631
DevToys-app/DevToys,29741,2021-09-29T01:40:41Z,2025-08-18T10:04:23Z,C#,38,497,933,658
restic/restic,29739,2014-04-27T14:07:58Z,2025-08-07T11:28:17Z,Go,48,2184,2815,2392
herrbischoff/awesome-macos-command-line,29739,2015-09-22T19:37:55Z,2021-09-02T13:26:37Z,N/A,0,104,0,0
jobbole/awesome-python-cn,29735,2015-11-03T09:50:50Z,2022-08-29T11:28:59Z,Makefile,0,51,31,18
vuejs/vue-cli,29710,2015-12-26T23:11:20Z,2025-08-21T10:56:30Z,JavaScript,178,1259,5497,4563
cheeriojs/cheerio,29699,2011-10-09T04:23:20Z,2025-08-20T05:22:27Z,TypeScript,61,2840,1220,1199
facebook/folly,29698,2012-06-01T20:49:04Z,2025-08-21T09:42:50Z,C++,254,13,1224,931
nothings/stb,29692,2014-05-25T16:51:23Z,2025-05-26T12:14:09Z,C,0,288,893,694
wailsapp/wails,29689,2018-12-15T23:14:06Z,2025-08-19T22:21:39Z,Go,242,1503,2132,1873
trailofbits/algo,29674,2016-05-15T03:42:48Z,2025-08-18T02:12:24Z,Python,2,575,1619,1534
hyprwm/Hyprland,29635,2022-03-16T19:49:13Z,2025-08-21T12:59:23Z,C++,96,1879,7271,7212
JushBJJ/Mr.-Ranedeer-AI-Tutor,29626,2023-03-31T12:37:26Z,2025-06-14T06:58:48Z,N/A,3,18,47,34
microsoft/WSL,29620,2016-04-06T17:32:56Z,2025-08-21T17:17:44Z,C++,94,137,11734,10718
vbenjs/vue-vben-admin,29617,2020-07-11T02:29:21Z,2025-08-21T20:40:17Z,Vue,60,1638,3596,3470
apolloconfig/apollo,29606,2016-03-04T10:24:23Z,2025-08-09T01:57:05Z,Java,41,1449,3352,3212
nicolargo/glances,29596,2011-12-04T08:49:15Z,2025-08-17T16:34:38Z,Python,51,743,2058,1933
motiondivision/motion,29560,2018-11-16T09:48:38Z,2025-08-21T12:30:53Z,TypeScript,0,1061,1857,1570
elsewhencode/project-guidelines,29554,2017-06-30T10:17:55Z,2024-12-09T07:59:04Z,JavaScript,0,113,38,29
react-boilerplate/react-boilerplate,29538,2015-02-18T14:36:32Z,2023-03-23T21:35:09Z,JavaScript,16,715,1909,1823
aosabook/500lines,29515,2013-11-04T02:02:53Z,2023-08-19T11:18:34Z,JavaScript,0,175,70,41
ariya/phantomjs,29479,2010-12-27T08:18:58Z,2022-11-26T19:43:12Z,C++,0,562,4745,4731
mantinedev/mantine,29457,2021-01-07T14:02:19Z,2025-08-20T19:29:01Z,TypeScript,271,1491,3245,3222
pmndrs/react-three-fiber,29416,2019-02-25T14:31:51Z,2025-08-20T04:39:19Z,TypeScript,125,651,1122,1041
encode/django-rest-framework,29393,2011-03-02T17:13:56Z,2025-08-21T03:35:51Z,Python,21,3021,3945,3887
heyverse/hey,29379,2022-03-19T15:01:46Z,2025-08-20T11:50:23Z,TypeScript,0,3765,0,0
IanLunn/Hover,29375,2014-01-02T14:27:35Z,2023-10-28T16:07:33Z,SCSS,10,23,107,83
tokio-rs/tokio,29363,2016-09-09T22:31:36Z,2025-08-19T11:42:56Z,Rust,138,3596,2521,2188
AllThingsSmitty/css-protips,29346,2015-08-29T12:29:03Z,2025-03-20T14:10:02Z,N/A,0,73,62,61
standard/standard,29339,2015-01-27T01:23:31Z,2025-07-11T08:28:23Z,JavaScript,7,411,1232,1122
alibaba/canal,29323,2013-01-13T10:59:52Z,2025-08-06T02:18:43Z,Java,32,473,4730,3571
danny-avila/LibreChat,29319,2023-02-12T01:06:52Z,2025-08-21T16:50:10Z,TypeScript,58,2137,3268,3113
