name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
dockur/windows,36993,2024-01-14T13:09:40Z,2025-08-18T03:43:35Z,Shell,104,411,834,737
0voice/interview_internal_reference,36976,2019-06-10T06:54:19Z,2024-05-20T12:04:02Z,Python,0,35,49,19
Kong/insomnia,36960,2016-04-23T03:54:26Z,2025-08-21T14:42:52Z,TypeScript,525,3352,3875,3195
freeCodeCamp/devdocs,36946,2013-10-24T18:16:07Z,2025-08-20T22:51:57Z,Ruby,0,926,1230,1039
inkonchain/docs,36929,2024-05-07T16:49:36Z,2025-08-18T07:43:19Z,MDX,0,393,33,13
denysdovhan/wtfjs,36909,2017-07-14T15:42:12Z,2025-03-18T13:55:28Z,JavaScript,25,125,117,95
inkonchain/node,36892,2024-05-13T23:20:40Z,2025-07-23T18:13:58Z,Shell,6,35,23,13
Aider-AI/aider,36850,2023-05-09T18:57:49Z,2025-08-13T17:30:01Z,Python,93,263,3692,2693
NervJS/taro,36834,2018-04-08T09:32:26Z,2025-08-20T21:53:27Z,TypeScript,200,3392,12542,11014
inkonchain/ink-kit,36798,2024-11-04T16:32:17Z,2025-07-23T18:10:56Z,TypeScript,0,90,4,3
siyuan-note/siyuan,36734,2020-08-30T09:21:35Z,2025-08-21T16:48:30Z,TypeScript,812,481,14912,14496
facebookresearch/faiss,36717,2017-02-07T16:07:05Z,2025-08-21T23:13:18Z,C++,20,137,2674,2442
milvus-io/milvus,36711,2019-09-16T06:43:43Z,2025-08-21T20:55:47Z,Go,129,22784,14047,13461
exacity/deeplearningbook-chinese,36682,2016-12-07T11:46:51Z,2019-12-03T04:25:44Z,TeX,7,16,203,139
google/googletest,36669,2015-07-28T15:07:53Z,2025-08-20T05:05:51Z,C++,11,813,2323,1979
huihut/interview,36637,2018-02-09T09:49:48Z,2025-07-27T12:36:29Z,C++,0,35,66,65
vlang/v,36636,2019-02-08T02:57:06Z,2025-08-21T14:15:43Z,V,274,12266,9687,8595
alibaba/arthas,36630,2018-08-29T17:15:57Z,2025-07-30T07:50:51Z,Java,59,540,2094,1722
halo-dev/halo,36615,2018-03-21T12:56:52Z,2025-08-21T10:15:48Z,Java,226,2615,4319,4019
AobingJava/JavaFamily,36600,2019-11-12T04:26:18Z,2024-09-04T09:25:59Z,N/A,0,2,65,60
satwikkansal/wtfpython,36576,2017-08-28T20:22:19Z,2025-05-10T11:50:03Z,Python,2,113,222,157
babysor/MockingBird,36564,2021-08-07T03:53:39Z,2024-11-15T05:00:29Z,Python,1,80,888,412
docling-project/docling,36479,2024-07-09T07:50:26Z,2025-08-21T16:18:08Z,Python,116,515,1103,620
openai/gym,36407,2016-04-27T14:59:16Z,2024-10-11T20:07:05Z,Python,19,998,1838,1726
httpie/cli,36406,2012-02-25T12:39:13Z,2024-12-17T17:30:35Z,Python,47,406,902,722
ToolJet/ToolJet,36358,2021-03-30T08:51:34Z,2025-08-21T15:31:59Z,JavaScript,319,6660,5001,4366
usebruno/bruno,36333,2022-09-27T20:51:45Z,2025-08-21T15:50:35Z,JavaScript,140,1263,3051,1846
chatboxai/chatbox,36318,2023-03-06T12:22:15Z,2025-08-20T08:29:12Z,TypeScript,47,71,2273,1450
zbezj/HEU_KMS_Activator,36289,2019-06-23T00:49:35Z,2025-08-19T13:44:06Z,N/A,48,0,182,28
google-research/google-research,36217,2018-10-04T18:42:48Z,2025-08-21T14:26:22Z,Jupyter Notebook,0,29,1404,343
hiroi-sora/Umi-OCR,36207,2022-03-28T04:01:46Z,2025-05-31T08:22:02Z,Python,31,56,782,512
